protein,cluster,table,tissue
LOC_Os04g46200.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os05g34310.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os01g69080.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os02g15250.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os04g56580.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os01g34700.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os01g54030.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os03g29240.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os07g43390.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os03g46100.1,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os03g31750,Cluster_9,S2H_96mRNAs,endosperm
LOC_Os01g18210.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os05g06750.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os06g01390.1,Cluster_10,S2H_96mRNAs,endosperm
LOC_Os08g23810.1,Cluster_10,S2H_96mRNAs,endosperm
